,language
Swift,76
Python,52
C++,14
C,13
Jupyter Notebook,4
Java,3
JavaScript,3
HTML,2
Markdown,2
LLVM,1
C#,1
Shell,1
SCSS,1
TypeScript,1
CMake,1
Dockerfile,1
Starlark,1
R,1
Mathematica,1
