,language
Java,69
JavaScript,40
Python,24
Go,18
C,7
HTML,7
Ruby,6
Kotlin,6
Scala,4
C++,4
Groovy,4
TypeScript,4
Shell,2
Clojure,2
R,2
C#,1
Jupyter Notebook,1
HCL,1
Dockerfile,1
Makefile,1
D,1
