,language
Java,74
Python,56
Scala,18
JavaScript,14
Go,10
TypeScript,10
Ruby,8
Shell,8
Objective-C,6
Swift,5
C,5
C++,5
HTML,4
HCL,3
Kotlin,2
Emacs Lisp,1
Jupyter Notebook,1
Groovy,1
Clojure,1
Puppet,1
RAML,1
